r_tuples,s_tuples,sum_join_time,sum_index_build_time,label,data_ratio
2000000,10000000,407.794,39.8383,CLazy-INLJ,0.2
10000000,10000000,875.696,41.5999,CLazy-INLJ,1
50000000,10000000,1204.79,38.815,CLazy-INLJ,5
2000000,10000000,2.30953,51.3007,2CLazy-ISJ,0.2
10000000,10000000,5.4752,128.984,2CLazy-ISJ,1
50000000,10000000,14.0217,1009.86,2CLazy-ISJ,5
2000000,10000000,902.292,27.7617,Comp-INLJ,0.2
10000000,10000000,1764.07,24.071,Comp-INLJ,1
50000000,10000000,2316.91,34.1045,Comp-INLJ,5
2000000,10000000,278.886,57.0504,2Eager-ISJ,0.2
10000000,10000000,759.807,97.299,2Eager-ISJ,1
50000000,10000000,1015.83,334.269,2Eager-ISJ,5
2000000,10000000,160.457,0,P-INLJ,0.2
10000000,10000000,615.021,0,P-INLJ,1
50000000,10000000,1230.01,0,P-INLJ,5
2000000,10000000,17.119,0,Grace-HJ,0.2
10000000,10000000,23.7791,0,Grace-HJ,1
50000000,10000000,62.7714,0,Grace-HJ,5