k_s,sum_join_time,sum_index_build_time,label
0.25,0.947225,10.5668,2CLazy-ISJ
0.5,1.04957,10.7456,2CLazy-ISJ
0.75,1.18113,10.8622,2CLazy-ISJ
0.25,11.8041,2.53265,Comp-INLJ
0.5,8.7348,2.53733,Comp-INLJ
0.75,9.49037,2.53161,Comp-INLJ
0.25,7.18835,12.9249,2Eager-ISJ
0.5,6.12979,11.3981,2Eager-ISJ
0.75,7.64975,12.1232,2Eager-ISJ
0.25,2.50782,0,P-INLJ
0.5,2.43872,0,P-INLJ
0.75,2.43667,0,P-INLJ
0.25,2.5797,0,Grace-HJ
0.5,2.56206,0,Grace-HJ
0.75,2.68249,0,Grace-HJ
0.25,0.947225,10.5668,CLazy-INLJ
0.5,1.04957,10.7456,CLazy-INLJ
0.75,1.18113,10.8622,CLazy-INLJ