K,sum_join_read_io,sum_join_time,sum_index_build_time,label
2,3929788,924.051,35.3208,CComp-INLJ
4,3926535,952.108,32.3212,CComp-INLJ
6,4242832,1143.62,32.4778,CComp-INLJ
8,4388982,1191.37,32.2492,CComp-INLJ
2,3631626,464.683,62.6047,CEager-INLJ
4,3820858,702.13,71.2677,CEager-INLJ
6,3925331,807.459,66.7788,CEager-INLJ
8,3946534,838.738,75.4379,CEager-INLJ
2,4755245,681.99,118.404,2Comp-ISJ
4,4747870,974.594,52.654,2Comp-ISJ
6,4737849,972.165,45.3992,2Comp-ISJ
8,4752369,794.838,44.4598,2Comp-ISJ