M,sum_join_time,sum_index_build_time,cache_hit_rate,label,theory
4194304,819.522,86.2435,0.382615,2Comp-SJ,0
16777216,751.944,52.482,0.382223,2Comp-SJ,0
33554432,1082.32,50.0609,0.382501,2Comp-SJ,0
67108864,856.271,41.5387,0.382133,2Comp-SJ,0
4194304,503.186,62.2947,0.13569,CEager-INLJ,0
16777216,457.059,63.6738,0.136331,CEager-INLJ,0
33554432,465.385,64.21,0.139565,CEager-INLJ,0
67108864,451.731,64.3482,0.125717,CEager-INLJ,0
4194304,873.582,53.5826,0.163061,CComp-INLJ,0
16777216,497.926,34.6683,0.11204,CComp-INLJ,0
33554432,506.009,34.7973,0.110902,CComp-INLJ,0
67108864,457.963,37.5992,0.111221,CComp-INLJ,0
4194304,924.991,63.1522,0.179068,CComp-INLJ,1
16777216,908.326,34.8066,0.158277,CComp-INLJ,1
33554432,521.346,41.3558,0.12511,CComp-INLJ,1
67108864,551.115,38.3137,0.115965,CComp-INLJ,1
4194304,797.757,67.5464,0.190235,CEager-INLJ,1
16777216,465.615,62.3887,0.120813,CEager-INLJ,1
33554432,471.622,61.523,0.136318,CEager-INLJ,1
67108864,439.534,63.2942,0.118716,CEager-INLJ,1
4194304,761.643,129.219,0.382892,2Comp-SJ,1
16777216,749.212,113.698,0.383548,2Comp-SJ,1
33554432,662.751,69.1636,0.382633,2Comp-SJ,1
67108864,742.053,55.2881,0.383499,2Comp-SJ,1