c_r,sum_join_time,sum_index_build_time,label
1,4.42018,4.46573,CLazy-INLJ
4,2.14982,4.50098,CLazy-INLJ
16,1.90087,4.55096,CLazy-INLJ
1,0.495581,9.69051,2CLazy-ISJ
4,0.406351,12.3013,2CLazy-ISJ
16,0.248429,12.9941,2CLazy-ISJ
1,7.99911,2.40615,Comp-INLJ
4,3.16321,2.22741,Comp-INLJ
16,1.82369,2.20695,Comp-INLJ
1,2.32363,9.56859,2Eager-ISJ
4,1.49796,9.63653,2Eager-ISJ
16,1.46758,9.61377,2Eager-ISJ
1,2.41176,0,P-INLJ
4,0.680866,0,P-INLJ
16,0.310708,0,P-INLJ
1,1.98798,0,Grace-HJ
4,1.33546,0,Grace-HJ
16,1.5564,0,Grace-HJ