k_r,sum_join_time,sum_index_build_time,label
2,506.116,43.8606,CLazy-INLJ
4,654.336,40.492,CLazy-INLJ
8,898.742,38.9512,CLazy-INLJ
2,8.09863,129.956,2CLazy-ISJ
4,5.3293,125.295,2CLazy-ISJ
8,3.57313,131.718,2CLazy-ISJ
2,1059.12,24.4907,Comp-INLJ
4,1962.05,26.7534,Comp-INLJ
8,2106.37,27.0485,Comp-INLJ
2,895.452,114.479,2Eager-ISJ
4,724.457,94.2644,2Eager-ISJ
8,644.017,91.3437,2Eager-ISJ
2,853.275,0,P-INLJ
4,617.647,0,P-INLJ
8,365.052,0,P-INLJ
2,24.1825,0,Grace-HJ
4,23.9489,0,Grace-HJ
8,23.4136,0,Grace-HJ