num_loop,sum_join_time,sum_index_build_time,label
1,23.8232,0,Grace-HJ
2,35.7963,0,Grace-HJ
4,57.0186,0,Grace-HJ
1,466.494,40.6115,CLazy-INLJ
2,745.945,40.1112,CLazy-INLJ
4,1172.77,39.992,CLazy-INLJ
1,1777.9,26.7774,Comp-INLJ
2,2501.83,27.4768,Comp-INLJ
4,4080.08,32.7574,Comp-INLJ
1,619.722,0,P-INLJ
2,744.951,0,P-INLJ
4,1202.58,0,P-INLJ
1,5.63994,125.06,2CLazy-ISJ
2,7.25003,118.319,2CLazy-ISJ
4,10.0936,122.574,2CLazy-ISJ
1,577.769,98.384,2Eager-ISJ
2,865.081,98.5737,2Eager-ISJ
4,1399.72,96.8362,2Eager-ISJ