r_index,s_index,join_algorithm,r_tuples,s_tuples,db_r,db_s,r_index_path,s_index_path,eps_s,k_r,k_s,c_r,M,B,T,K,skip_ingestion,is_public_data,theory,skew,public_r,public_s,num_loop,cache_size,bpk,page_size,skip_join,matches,sum_join_read_io,sum_join_time,sum_index_build_time,cache_hit_rate,false_positive_rate
Regular,Primary,INLJ,2000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,1998873,1188658,160.457,0,0.409045,0.00965229
Regular,Comp,INLJ,2000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,8006656,3604794,902.292,27.7617,0.641003,0.0051432
Regular,CLazy,INLJ,2000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,8006656,1693539,407.794,39.8383,0.167738,0.00925022
CLazy,CLazy,SJ,2000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,8006656,16,2.30953,51.3007,0,-nan
Eager,Eager,SJ,2000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,8006656,1088521,278.886,57.0504,0.631521,-nan
Regular,Regular,HJ,2000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,8006656,20,17.119,0,0,-nan
Regular,Primary,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,3988869,2442271,615.021,0,0.354883,0.00968489
Regular,Comp,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15977960,7483046,1764.07,24.071,0.603191,0.00126447
Regular,CLazy,INLJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15977960,3663084,875.696,41.5999,0.139025,0.00967354
CLazy,CLazy,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15977960,30,5.4752,128.984,0.000553542,-nan
Eager,Eager,SJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15977960,4747204,759.807,97.299,0.383795,0.00970665
Regular,Regular,HJ,10000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15977960,34,23.7791,0,0,-nan
Regular,Primary,INLJ,50000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,3956286,2878992,1230.01,0,0.325833,0.00966246
Regular,Comp,INLJ,50000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15847332,8141736,2316.91,34.1045,0.57176,0.000250278
Regular,CLazy,INLJ,50000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15847332,4345179,1204.79,38.815,0.242418,0.0096831
CLazy,CLazy,SJ,50000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15847332,64,14.0217,1009.86,0.000215406,-nan
Eager,Eager,SJ,50000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15847332,4961778,1015.83,334.269,0.356119,0.00960556
Regular,Regular,HJ,50000000,10000000,/tmp/db_r_ablation,/tmp/db_s_ablation,/tmp/index_r_ablation,/tmp/index_s_ablation,0.600000,4.000000,4.000000,1,16777216,128,5,2,0,0,0,0,,,1,33554432,10,4096,0,15847332,79,62.7714,0,0,-nan
