bpk,sum_join_time,sum_index_build_time,cache_hit_rate,false_positive_rate,label
2,889.483,36.1114,0.381683,0.218291,CComp-INLJ
5,619.54,34.3708,0.238585,0.0302061,CComp-INLJ
10,574.653,34.414,0.137749,0.00283779,CComp-INLJ
20,551.449,36.077,0.111094,4.12E-05,CComp-INLJ
2,928.062,382.113,0.394922,0.393492,CEager-INLJ
5,562.87,132.982,0.250227,0.0919829,CEager-INLJ
10,475.243,65.9668,0.135754,0.00960158,CEager-INLJ
20,507.774,54.1638,0.118088,0.000193188,CEager-INLJ
2,1100.29,39.1568,0.397,0.392426,CLazy-INLJ 
5,577.868,43.3436,0.253496,0.0924289,CLazy-INLJ 
10,662.389,40.2381,0.139345,0.00975684,CLazy-INLJ 
20,730.644,40.2428,0.118523,0.000187396,CLazy-INLJ 